code,name,lat,lon,junction,source
A01,New Ashok Nagar,28.591321,77.30252,,osm
A02,Anand Vihar,28.647471,77.316799,,osm
A03,Sahibabad,28.667639,77.368132,,osm
A04,Ghaziabad,28.672555,77.413731,,osm
A05,Guldhar,28.699543,77.44575,,osm
A06,Duhai,28.727017,77.471407,,osm
A07,Murad Nagar,28.770382,77.510704,,osm
A08,Modinagar South,28.817729,77.556741,,osm
A09,Modinagar North,28.843488,77.583196,,osm
A10,Meerut South,28.904729,77.632839,,osm
A11,Partapur,28.922018,77.650585,,osm
A12,Rithani,28.932037,77.660548,,osm
A13,Shatabdi Nagar,28.947748,77.673876,,osm
A14,Brahmapuri,28.960296,77.684812,,osm
A15,Meerut Central,28.972872,77.690603,,osm
A16,Bhainsali,28.988092,77.700317,,osm
A17,Begumpul,28.996738,77.705602,,osm
A18,MES Colony,29.015964,77.704621,,osm
A19,Daurli,29.040706,77.706856,,osm
A20,Meerut North,29.053349,77.708017,,osm
A21,Modipuram,29.072329,77.708884,,osm
AA,Ataria,27.172724,80.861014,,osm
AABH,Ambika Bhawani Halt,25.751691,84.969681,,osm
AAD,آباد,28.192304,68.519067,,osm
AADR,Amb Andaura,31.670355,76.110373,,osm
AAH,Itehar,26.561873,78.672026,,osm
AAL,Amlai,23.173088,81.592889,,osm
AAR,Adesar,23.5527,70.972855,,osm
AAS,Asranada,26.397399,73.305984,,osm
ABB,Abada,22.547871,88.199521,,osm
ABD,Ambli Road,23.053531,72.493409,,osm
ABE,Ambkeshwar,26.366013,77.972587,,osm
ABFC,Ambari Falakata,26.641148,88.510506,,osm
ABG,آبِ گم,29.803753,67.403161,,osm
ABGM,Ambalgram,23.692813,88.079121,,osm
ABH,Ambarnath,19.210061,73.184688,,osm
ABK,عبدالحکیم ریلوے اسٹیشن,30.554444,72.131795,,osm
ABKA,Ambika Kalna,23.212637,88.35387,,osm
ABKP,Ambikapur,23.136827,83.144012,,osm
ABLE,Ambale,18.413774,74.187037,,osm
ABO,Asthal Bohar Junction,28.858154,76.629053,,osm
ABP,Akbarpur Junction,26.429668,82.539318,,osm
ABR,Abu Road,24.481274,72.785287,,osm
ABRV,Ambari Richhavi,22.319554,74.271894,,osm
ABS,Abohar Junction,30.139419,74.19535,,osm
ABW,Abutara Halt,26.060431,89.529566,,osm
ABY,Ambivli,19.268291,73.172246,,osm
ACHH,علی پور چٹھہ ریلوے اسٹیشن,32.255443,73.816446,,osm
ACL,Ancheli,20.84507,72.94541,,osm
ACLE,Azimganj City,24.239835,88.255341,,osm
ACND,Acharya Narendra Dev Nagar,26.775521,82.157957,,osm
ACRN,Achirne,16.446684,73.743893,,osm
ACU,Achuara Halt,25.452935,85.657339,,osm
ADD,Chalvada,23.938487,71.592305,,osm
ADE,Adari Road,20.987149,70.330715,,osm
ADF,Adina,25.114633,88.122985,,osm
ADH,Andheri,19.119698,72.84642,,osm
ADI,Ahmedabad Junction,23.026331,72.601,,osm
ADK,کوٹ ادو جنکشن ریلوے اسٹیشن‬,30.469349,70.962258,,osm
ADL,Andul,22.575702,88.239446,,osm
ADN,الله دادانی,27.789939,68.565582,,osm
ADQ,Adhikari,26.576733,88.169911,,osm
ADR,Mandi Adampur,29.283165,75.468743,,osm
ADRA,Adra Junction,23.495768,86.674648,,osm
ADS,ﷲ دینو ساند,25.503539,68.52231,,osm
ADST,Adisaptagram,22.954922,88.378957,,osm
ADTL,Adhartal,23.227958,79.972919,,osm
ADTP,Adityapur,22.782674,86.159036,,osm
ADVI,Adavali,16.921545,73.592809,,osm
ADW,آدم واہن ریلوے اسٹیشن,29.467077,71.645169,,osm
ADX,Adapur,26.925492,84.9418,,osm
AE,Amreli,21.607881,71.228115,,osm
AED,Aulenda,27.032889,77.615763,,osm
AEE,Alachor,31.167773,76.127715,,osm
AEH,Anant Paith,25.95535,78.276429,,osm
AEJ,Arnej,22.581423,72.267784,,osm
AEL,Ateli,28.100659,76.253532,,osm
AEP,Amreli Para,21.589202,71.212741,,osm
AERH,Agrer,25.020045,84.040745,,osm
AF,Agra Fort,27.183003,78.018713,,osm
AFR,Asafpur,28.405291,78.905618,,osm
AFS,اشرف شاہ,29.75513,72.110586,,osm
AFTM,Dr. Ambedkar Chowk Station,27.174968,78.022205,,osm
AG,Aranghata,23.242173,88.613518,,osm
AGA,Agra City,27.194131,78.015519,,osm
AGAE,Agradwip,23.581217,88.226288,,osm
AGAS,Agas,22.502057,72.883858,,osm
AGC,Agra Cantonment,27.158953,77.990048,,osm
AGCI,Angadi,22.80763,73.286142,,osm
AGD,Agasod,24.233963,78.21762,,osm
AGE,Angai,26.604442,77.462927,,osm
AGMN,Agomoni,26.277916,89.76591,,osm
AGP,Agarpara,22.682878,88.385364,,osm
AGR,Amargarh,23.062727,74.737431,,osm
AGTR,Agauthar Halt,26.008522,84.844046,,osm
AGV,Angua,21.89526,87.270792,,osm
AGY,Agori Khas,24.596989,83.05524,,osm
AH,Achhnera Junction,27.18159,77.758176,,osm
AHA,Abhaipur,25.215745,86.322878,,osm
AHH,Ahmedgarh,30.683495,75.829001,,osm
AHJU,Ahju,32.024062,76.706899,,osm
AHLR,Ahalyapur,26.468381,83.824844,,osm
AHM,Ahimanpur,25.252222,82.511596,,osm
AHMP,Adarsh Manpur,25.133494,85.922237,,osm
AHN,Ahiran,24.518868,88.041613,,osm
AHO,Adarshnagar,26.410942,74.653534,,osm
AHP,احسان پور,30.648907,70.951271,,osm
AHQ,Ahera Halt,28.931065,77.277635,,osm
AHR,عباس پور ریلوے اسٹیشن,31.328845,72.945679,,osm
AHRM,Ashram,28.572423,77.258598,,osm
AHT,Amghata,23.412593,88.420474,,osm
AHU,اتھل پور,31.161373,74.387212,,osm
AHZ,Adhinpur,26.418619,81.726747,,osm
AI,Adipur Junction,23.076406,70.078166,,osm
AIA,Ajaraka,27.960221,76.563797,,osm
AIG,Algawan,27.700793,79.963934,,osm
AIH,Alawalpur Idrispur,29.047777,77.271193,,osm
AII,Ajmer Junction,26.456336,74.637348,,osm
AIIMS,A.I.I.M.S.,28.56686,77.207806,,osm
AILM,Ailam,29.271671,77.291709,,osm
AIR,Alindra Road,22.452001,73.256299,,osm
AIRL,Airoli,19.158523,72.999402,,osm
AIT,Ait Junction,25.902896,79.22962,,osm
AJ,Ajgain,26.617364,80.62135,,osm
AJE,Anjar,23.119428,70.03638,,osm
AJH,Ajhai,27.636249,77.558095,,osm
AJI,Anjhi Shahabad,27.644302,79.974234,,osm
AJIT,Ajit,25.859679,72.677461,,osm
AJKI,Ajit Kheri,23.039655,76.045301,,osm
AJL,Ajitwal,30.808273,75.33535,,osm
AJMI,Adraj Moti,23.258206,72.565157,,osm
AJN,Ajnod,22.931421,75.738395,,osm
AJR,Ajaibpur,28.472312,77.594129,,osm
AJTM,Ajit Gill Matta,30.482873,74.864104,,osm
AJWA,Ajwa,22.358769,73.384886,,osm
AKD,Akodia,23.378655,76.599357,,osm
AKI,Adarki,17.922209,74.192763,,osm
AKIP,Akaipur,23.095252,88.717382,,osm
AKJ,Akbarganj,26.530971,81.503715,,osm
AKL,Anakhol,23.276458,72.410083,,osm
AKN,Akbarnagar,25.235326,86.835349,,osm
AKO,اکوڑا خٹک,33.994682,72.147148,,osm
AKP,Anakapalle,17.694631,83.008648,,osm
AKR,Akolner,18.983933,74.668318,,osm
AKRA,Akra,22.514737,88.249279,,osm
AKRD,Akurdi,18.648636,73.764716,,osm
AKS,Ankuspur,25.571319,83.494012,,osm
AKSMP,Araniya Kalan Salempura,26.647063,76.311927,,osm
AKT,Akaltara,22.029146,82.422475,,osm
AKV,Ankleshwar Junction,21.625615,73.001118,,osm
AKVU,Ankleshwar Udyog Nagar,21.633441,73.033639,,osm
AKW,Akona,25.581901,80.147098,,osm
AKZ,Akashi,23.404771,84.831139,,osm
ALAI,Alai,27.33762,73.585187,,osm
ALAL,Alal,30.377162,75.73194,,osm
ALAU,Alau,22.210418,71.688227,,osm
ALB,Alia Bada,22.447061,70.21088,,osm
ALE,Amleta,21.837893,73.405675,,osm
ALJ,Aliganj,29.114262,78.919765,,osm
ALJN,Aligarh Junction,27.888807,78.074736,,osm
ALM,Alamanda,18.012079,83.270631,,osm
ALMG,Alamganj,26.119037,90.025594,,osm
ALMR,Alampur,21.959953,71.711103,,osm
ALMW,Almau,25.264001,82.475544,,osm
ALN,Alandi,18.462903,74.06419,,osm
ALNI,Alniya,25.032184,75.909077,,osm
ALNP,Akelahanspur,28.332195,80.323975,,osm
ALPD,Adalpahari,24.208218,87.709578,,osm
ALS,Amlori Sarsar,26.291267,84.346237,,osm
ALV,Anklav,22.393003,72.999869,,osm
AMA,Atamanda,28.564383,79.463553,,osm
AMB,Ambadala,19.83526,83.457221,,osm
AMBG,Arambag,22.888193,87.791574,,osm
AMD,Amila,26.188336,83.522814,,osm
AME,Amethi,26.152874,81.806104,,osm
AMG,Alamnagar,26.84152,80.868266,,osm
AMH,Azamgarh,26.039014,83.161713,,osm
AMIN,Amin,29.904621,76.899603,,osm
AML,Amalsad,20.811416,72.95602,,osm
AMLA,Amla Juncion,21.91951,78.122756,,osm
AMLI,Amli,25.828125,76.285943,,osm
AMLO,Amlo,23.768902,85.982189,,osm
AMLP,Amalpur,22.162642,73.511743,,osm
AMNA,Aman Lodge,19.001379,73.281714,,osm
AMO,Amolwa,27.21184,84.477948,,osm
AMP,Ahmadpur Junction,23.832677,87.692805,,osm
AMPL,Ammapali,25.271662,87.459249,,osm
AMPR,Amarpura Rathan,29.441954,74.013449,,osm
AMR,آمری,26.16983,68.008697,,osm
AMRI,Anajmandi Rewari,28.183667,76.605543,,osm
AMRO,Amroha,28.892213,78.474427,,osm
AMRR,امیر پور ہالٹ,29.675467,71.974093,,osm
AMS,Amausi,26.774287,80.841426,,osm
AMZ,Amta,22.574403,88.018885,,osm
ANA,Aslana,23.860078,79.31957,,osm
ANAH,Aunta Halt,25.380294,85.949684,,osm
ANAS,Anas,22.865624,74.42154,,osm
AND,Anandnagar,18.509572,73.814075,,osm
ANDI,Adarsh Nagar,28.714401,77.167288,,osm
ANDN,Anand Nagar Junction,27.099533,83.269898,,osm
ANG,Ahmadnagar,19.074352,74.721998,,osm
ANGL,Angul,20.860251,85.102104,,osm
ANGM,Aungari Dham,25.191331,85.226319,,osm
ANH,Ankorha,24.76092,84.169784,,osm
ANI,Ajanti,21.894881,76.286169,,osm
ANJE,Angarpathra Halt,23.795918,86.311242,,osm
ANKI,Anakhi,22.075139,72.854073,,osm
ANKL,Ankola,14.645359,74.331925,,osm
ANND,Anand Junction,22.561721,72.965946,,osm
ANO,Anjani,17.621055,73.399731,,osm
ANPR,Anpara,24.216908,82.766124,,osm
ANQ,Amnapur,17.046408,74.464191,,osm
ANR,Anara,23.481713,86.560558,,osm
ANSB,Anandpur Sahib,31.229986,76.500578,,osm
ANT,Anantnag,33.738585,75.107435,,osm
ANVR,Anand Vihar (Pink Line),28.646616,77.315532,,osm
ANVT,Anand Vihar Terminal,28.648851,77.3155,,osm
ANW,Anaval,20.843073,73.267793,,osm
AO,Aonla,28.295874,79.168854,,osm
AOD,آرائیں روڈ,27.732164,68.81412,,osm
AOR,Argora,23.347264,85.315037,,osm
APA,Amarpura,26.114207,74.256705,,osm
APD,Alipurduar,26.478924,89.521035,,osm
APDC,Alipur Duar Court,26.501588,89.52788,,osm
APDJ,Alipur Duar Junction,26.523273,89.533694,,osm
APG,Anupganj,26.761522,81.103247,,osm
APH,Anupgarh,29.196744,73.204616,,osm
APJ,Amarpur Jorasi,28.009559,76.055082,,osm
APKH,Asanpur Kupha,26.300191,86.628367,,osm
APMN,Ashok Park Main,28.671605,77.155291,,osm
APOT,IGI Airport,28.556463,77.086699,,osm
APP,Ambapendarpur Halt,25.264731,85.530069,,osm
APQ,Aditpara,21.669888,69.672986,,osm
APR,Anuppur Junction,23.117876,81.69647,,osm
APRD,Ashapurna Devi,21.721644,87.632621,,osm
APRH,Alehpur Halt,26.209465,84.788986,,osm
APTA,Apta,18.863708,73.153299,,osm
AQG,Ashapura Gomat,26.950561,71.893097,,osm
ARA,Ara Junction,25.548466,84.661632,,osm
ARD,Amarda Road,21.733933,87.102364,,osm
ARE,Arnetha,25.389871,76.018584,,osm
ARF,عارف والہ,30.293309,73.065355,,osm
ARG,Angar Ghat,25.793381,85.909812,,osm
ARGD,Arigada,23.64433,85.467985,,osm
ARGL,Argul,20.124244,85.670639,,osm
ARI,Antri,26.035644,78.226953,,osm
ARJ,Aunrihar Junction,25.545133,83.187645,,osm
ARK,Araku,18.332922,82.865258,,osm
ARKA,Arkha,25.887496,81.31372,,osm
ARKV,Araku Valley,18.302793,82.910352,,osm
ARL,Aroul,26.920644,80.018951,,osm
ARNA,Arniya,27.010643,76.517738,,osm
ARP,Atrampur,25.572282,81.745967,,osm
ARPR,Alirajpur,22.300168,74.398718,,osm
ARQ,Araria Court,26.114822,87.447284,,osm
ARR,Arariya,26.136362,87.411945,,osm
ARW,Ahraura Road,25.196586,83.019278,,osm
ARX,Areli,28.019018,79.885622,,osm
ARYJ,Aarey JVLR,19.130428,72.884349,,osm
AS,Arjansar,28.931939,73.871807,,osm
AS2,Duhai Depot Station,28.742282,77.467641,,osm
ASA,آدم صحابہ,28.359697,70.224356,,osm
ASAN,Asan,29.401351,76.869373,,osm
ASAR,Asara,29.249397,77.291497,,osm
ASB,Asanboni,22.705409,86.321382,,osm
ASCE,Athsarai,25.678937,81.262207,,osm
ASDM,Akshardham,28.617933,77.279424,,osm
